id,street_address,city,damage_score,magnitude,Homeowner,Phone,Status
8773,247 Indiana Ave,Wichita Falls,78.38,3.0,Elizabeth Roberts,+13570644280,OUTREACH READY
8789,263 Indiana Ave,Wichita Falls,77.94,3.0,Janice Mitchell,+12485060304,OUTREACH READY
8791,265 Indiana Ave,Wichita Falls,77.73,3.0,Joseph Peck,+18657527559,OUTREACH READY
8793,267 Indiana Ave,Wichita Falls,76.68,3.0,Mariah Williams,+17795038060,OUTREACH READY
8795,269 Indiana Ave,Wichita Falls,75.55,3.0,Mike Trevino,+13049951330,OUTREACH READY
8737,211 Indiana Ave,Wichita Falls,75.47,3.0,Erin Ramirez,+10805426132,OUTREACH READY
8797,271 Indiana Ave,Wichita Falls,74.51,3.0,Nathan Sanchez,+13201844726,OUTREACH READY
8799,273 Indiana Ave,Wichita Falls,73.87,3.0,Taylor Gill,+11020625255,OUTREACH READY
8801,275 Indiana Ave,Wichita Falls,72.63,3.0,Jessica Brown,+17853897627,OUTREACH READY
8803,277 Indiana Ave,Wichita Falls,71.88,3.0,Anna Smith,+16255916699,OUTREACH READY
8805,279 Indiana Ave,Wichita Falls,70.38,3.0,Debra Barajas,+15454211117,OUTREACH READY
8807,281 Indiana Ave,Wichita Falls,69.13,3.0,Robert Flores,+14195162442,OUTREACH READY
8735,209 Indiana Ave,Wichita Falls,67.94,3.0,Nicole Sanchez,+18650094478,OUTREACH READY
8809,283 Indiana Ave,Wichita Falls,67.44,3.0,David Mann,+16087987796,OUTREACH READY
8811,285 Indiana Ave,Wichita Falls,65.59,3.0,Carolyn Clayton,+12995977377,OUTREACH READY
8813,287 Indiana Ave,Wichita Falls,64.31,3.0,Thomas Young,+15622287400,OUTREACH READY
8733,207 Indiana Ave,Wichita Falls,52.41,3.0,Chase Williams,+17536750945,OUTREACH READY
8634,108 Indiana Ave,Wichita Falls,36.1,3.0,Thomas Riddle,+10408602640,OUTREACH READY
8632,106 Indiana Ave,Wichita Falls,34.87,3.0,Henry Rivers,+18200148188,OUTREACH READY
8435,110 Scott Ave,Wichita Falls,34.79,3.0,Emily Butler,+18908846331,OUTREACH READY
8625,300 Scott Ave,Wichita Falls,34.12,3.0,Jessica Ross,+15829556077,OUTREACH READY
8629,103 Indiana Ave,Wichita Falls,33.33,3.0,Holly Michael,+13966879905,OUTREACH READY
8636,110 Indiana Ave,Wichita Falls,33.23,3.0,Kevin Collins,+15725959539,OUTREACH READY
8630,104 Indiana Ave,Wichita Falls,33.17,3.0,Carla Vargas,+13715622677,OUTREACH READY
8638,112 Indiana Ave,Wichita Falls,32.4,3.0,Christopher Howard,+19717604898,OUTREACH READY
8640,114 Indiana Ave,Wichita Falls,31.68,3.0,Eric Espinoza,+13847845239,OUTREACH READY
8626,100 Indiana Ave,Wichita Falls,31.43,3.0,Cassie Murphy,+14922707735,OUTREACH READY
8538,213 Scott Ave,Wichita Falls,31.34,3.0,Robert Barnes,+14771791879,OUTREACH READY
8642,116 Indiana Ave,Wichita Falls,31.05,3.0,Claudia Simmons,+13053030337,OUTREACH READY
8641,115 Indiana Ave,Wichita Falls,30.96,3.0,Chloe Williams,+16577018421,OUTREACH READY
8731,205 Indiana Ave,Wichita Falls,30.91,3.0,Lauren Smith,+11118726625,OUTREACH READY
8536,211 Scott Ave,Wichita Falls,30.87,3.0,Dennis Romero,+15104306692,OUTREACH READY
8540,215 Scott Ave,Wichita Falls,30.77,3.0,Donna Hahn,+10355264388,OUTREACH READY
8644,118 Indiana Ave,Wichita Falls,30.6,3.0,Susan Soto,+17242777107,OUTREACH READY
8633,107 Indiana Ave,Wichita Falls,30.41,3.0,Robert Love,+17938743562,OUTREACH READY
8437,112 Scott Ave,Wichita Falls,30.32,3.0,Paul Ibarra,+10054755713,OUTREACH READY
8534,209 Scott Ave,Wichita Falls,30.07,3.0,Samantha Richardson,+15888198145,OUTREACH READY
8532,207 Scott Ave,Wichita Falls,30.0,3.0,Stephanie Harris,+17291516283,OUTREACH READY
8542,217 Scott Ave,Wichita Falls,29.92,3.0,Stacey Baker DDS,+11193191637,OUTREACH READY
6975,,TEXAS,29.89,3.33,Jason White,+18158603019,OUTREACH READY
6976,"8648 Stephan's Crossing, Bryan, Texas",TEXAS,29.89,3.33,Mrs. Tricia Gonzalez DDS,+10960546849,OUTREACH READY
8646,120 Indiana Ave,Wichita Falls,29.84,3.0,Michael Turner,+12756692167,OUTREACH READY
8648,122 Indiana Ave,Wichita Falls,29.06,3.0,Michael Watts,+13556226113,OUTREACH READY
8531,206 Scott Ave,Wichita Falls,29.03,3.0,Richard Martinez,+16399839989,OUTREACH READY
8639,113 Indiana Ave,Wichita Falls,28.91,3.0,Evelyn Rodriguez,+17904240949,OUTREACH READY
8627,101 Indiana Ave,Wichita Falls,28.61,3.0,Denise Aguirre,+18642117566,OUTREACH READY
8528,203 Scott Ave,Wichita Falls,28.54,3.0,Edward Delacruz,+19129357045,OUTREACH READY
8544,219 Scott Ave,Wichita Falls,28.51,3.0,Theresa Shelton,+17156596434,OUTREACH READY
8529,204 Scott Ave,Wichita Falls,28.41,3.0,Priscilla Oneill,+10986209168,OUTREACH READY
8650,124 Indiana Ave,Wichita Falls,28.26,3.0,Megan Warren,+13586055664,OUTREACH READY
8533,208 Scott Ave,Wichita Falls,28.21,3.0,Cameron Caldwell,+15377068952,OUTREACH READY
8628,102 Indiana Ave,Wichita Falls,28.19,3.0,Louis Smith,+15993946725,OUTREACH READY
8535,210 Scott Ave,Wichita Falls,28.18,3.0,Adam Hoffman,+15102244774,OUTREACH READY
8527,202 Scott Ave,Wichita Falls,28.12,3.0,Michael Zamora,+19007553625,OUTREACH READY
8537,212 Scott Ave,Wichita Falls,28.11,3.0,April Johnson,+15208684883,OUTREACH READY
8637,111 Indiana Ave,Wichita Falls,28.1,3.0,Tracy Evans,+12058969913,OUTREACH READY
8543,218 Scott Ave,Wichita Falls,28.07,3.0,Shelby Sanders,+11984798605,OUTREACH READY
8541,216 Scott Ave,Wichita Falls,28.0,3.0,Anthony Byrd,+17047140223,OUTREACH READY
8545,220 Scott Ave,Wichita Falls,27.97,3.0,Casey Miller,+18827577691,OUTREACH READY
8643,117 Indiana Ave,Wichita Falls,27.96,3.0,Taylor Norman,+12247805430,OUTREACH READY
8549,224 Scott Ave,Wichita Falls,27.73,3.0,Melinda Ellison,+18234563752,OUTREACH READY
8551,226 Scott Ave,Wichita Falls,27.69,3.0,Joshua Bridges MD,+19712602029,OUTREACH READY
8547,222 Scott Ave,Wichita Falls,27.59,3.0,Alexander Carpenter,+12868306825,OUTREACH READY
8553,228 Scott Ave,Wichita Falls,27.51,3.0,Marc Dyer,+12734062364,OUTREACH READY
8635,109 Indiana Ave,Wichita Falls,27.45,3.0,Emily Marquez,+15798159102,OUTREACH READY
8555,230 Scott Ave,Wichita Falls,27.39,3.0,William Jones,+17389654212,OUTREACH READY
8652,126 Indiana Ave,Wichita Falls,27.25,3.0,Emily Aguilar,+19302010231,OUTREACH READY
8557,232 Scott Ave,Wichita Falls,27.22,3.0,Andrew Holmes,+17949334279,OUTREACH READY
8546,221 Scott Ave,Wichita Falls,27.19,3.0,Charles Clark MD,+19120266971,OUTREACH READY
8559,234 Scott Ave,Wichita Falls,27.07,3.0,Richard Evans,+11182767292,OUTREACH READY
8654,128 Indiana Ave,Wichita Falls,26.94,3.0,Evan Harmon,+12444679294,OUTREACH READY
8561,236 Scott Ave,Wichita Falls,26.75,3.0,Johnny Mcknight,+12254227812,OUTREACH READY
8645,119 Indiana Ave,Wichita Falls,26.71,3.0,Rachel Wu,+18017482901,OUTREACH READY
8563,238 Scott Ave,Wichita Falls,26.45,3.0,Kim Myers,+12117852031,OUTREACH READY
8742,216 Indiana Ave,Wichita Falls,26.42,3.0,James Yang,+15108168100,OUTREACH READY
8548,223 Scott Ave,Wichita Falls,26.3,3.0,Emily Campbell,+14667876076,OUTREACH READY
8656,130 Indiana Ave,Wichita Falls,26.06,3.0,Troy Meyers,+18755605519,OUTREACH READY
8539,214 Scott Ave,Wichita Falls,25.94,3.0,Steven Hopkins,+14247845107,OUTREACH READY
8631,105 Indiana Ave,Wichita Falls,25.89,3.0,Julie Nguyen,+13488397804,OUTREACH READY
8427,102 Scott Ave,Wichita Falls,25.83,3.0,Allen Rogers,+12331540833,OUTREACH READY
8428,103 Scott Ave,Wichita Falls,25.83,3.0,Michael Miller,+10398605732,OUTREACH READY
8565,240 Scott Ave,Wichita Falls,25.79,3.0,Joseph Johnson,+16146809900,OUTREACH READY
8567,242 Scott Ave,Wichita Falls,25.46,3.0,Ryan Pope,+13771029213,OUTREACH READY
8569,244 Scott Ave,Wichita Falls,25.24,3.0,Hector Wilkins,+16822094517,OUTREACH READY
8732,206 Indiana Ave,Wichita Falls,25.01,3.0,Daniel Solomon,+12942691830,OUTREACH READY
8647,121 Indiana Ave,Wichita Falls,24.97,3.0,Elizabeth Schmidt,+15741195735,OUTREACH READY
8740,214 Indiana Ave,Wichita Falls,24.96,3.0,Janet Tucker,+11280444886,OUTREACH READY
8571,246 Scott Ave,Wichita Falls,24.93,3.0,Darius Campbell,+19817968340,OUTREACH READY
8530,205 Scott Ave,Wichita Falls,24.9,3.0,Dawn Montgomery,+16993252902,OUTREACH READY
8573,248 Scott Ave,Wichita Falls,24.87,3.0,Tricia Mcclain,+16747085057,OUTREACH READY
8658,132 Indiana Ave,Wichita Falls,24.84,3.0,Carol Soto,+10632598681,OUTREACH READY
8511,186 Scott Ave,Wichita Falls,24.72,3.0,Alicia Moreno,+10519040647,OUTREACH READY
8680,154 Indiana Ave,Wichita Falls,24.56,3.0,Mallory Grimes,+16541561875,OUTREACH READY
8575,250 Scott Ave,Wichita Falls,24.52,3.0,Lisa Arnold,+14013104514,OUTREACH READY
8509,184 Scott Ave,Wichita Falls,24.48,3.0,Debra Diaz,+11437348920,OUTREACH READY
8434,109 Scott Ave,Wichita Falls,24.47,3.0,Trevor Anderson,+12108424226,OUTREACH READY
8507,182 Scott Ave,Wichita Falls,24.37,3.0,Terry Sullivan,+17715257164,OUTREACH READY
8595,270 Scott Ave,Wichita Falls,24.35,3.0,James Perry,+14758463682,OUTREACH READY
8660,134 Indiana Ave,Wichita Falls,24.33,3.0,Tamara Michael,+19908512505,OUTREACH READY
8505,180 Scott Ave,Wichita Falls,24.26,3.0,Gregory Smith,+11167439330,OUTREACH READY
8577,252 Scott Ave,Wichita Falls,24.25,3.0,Carlos Wallace,+15690651203,OUTREACH READY
8597,272 Scott Ave,Wichita Falls,24.23,3.0,Jennifer Williams,+13684444508,OUTREACH READY
8605,280 Scott Ave,Wichita Falls,24.22,3.0,Kevin Singleton,+16102421138,OUTREACH READY
8649,123 Indiana Ave,Wichita Falls,24.21,3.0,Christine Nelson,+12795669811,OUTREACH READY
8593,268 Scott Ave,Wichita Falls,24.18,3.0,Caleb Nguyen,+10308445510,OUTREACH READY
8603,278 Scott Ave,Wichita Falls,24.17,3.0,Rhonda Mckay,+16504554955,OUTREACH READY
8599,274 Scott Ave,Wichita Falls,24.15,3.0,Amy Edwards,+10039985180,OUTREACH READY
8682,156 Indiana Ave,Wichita Falls,24.14,3.0,Matthew Mueller,+14470078126,OUTREACH READY
8707,181 Indiana Ave,Wichita Falls,24.12,3.0,Jeff Jones,+12199185699,OUTREACH READY
8709,183 Indiana Ave,Wichita Falls,24.12,3.0,Crystal Olson,+19614774377,OUTREACH READY
8703,177 Indiana Ave,Wichita Falls,24.05,3.0,Jordan Thomas,+14598580134,OUTREACH READY
8579,254 Scott Ave,Wichita Falls,24.04,3.0,Jamie Dean,+15129854910,OUTREACH READY
8587,262 Scott Ave,Wichita Falls,24.02,3.0,Stephanie Anderson,+18465659865,OUTREACH READY
8591,266 Scott Ave,Wichita Falls,24.02,3.0,Jessica Mason,+12287452198,OUTREACH READY
8701,175 Indiana Ave,Wichita Falls,23.97,3.0,Ryan Jacobs,+17098638796,OUTREACH READY
8601,276 Scott Ave,Wichita Falls,23.96,3.0,Jason George,+14796495186,OUTREACH READY
8503,178 Scott Ave,Wichita Falls,23.94,3.0,Stephen Daniels,+12509584515,OUTREACH READY
8699,173 Indiana Ave,Wichita Falls,23.93,3.0,Larry Wagner,+17013839347,OUTREACH READY
8705,179 Indiana Ave,Wichita Falls,23.93,3.0,Leon Kirk,+19454536672,OUTREACH READY
8589,264 Scott Ave,Wichita Falls,23.92,3.0,Pedro Sullivan,+14256705970,OUTREACH READY
8607,282 Scott Ave,Wichita Falls,23.9,3.0,Hannah Smith,+10051026384,OUTREACH READY
8609,284 Scott Ave,Wichita Falls,23.9,3.0,Lisa Tran,+17279505071,OUTREACH READY
8581,256 Scott Ave,Wichita Falls,23.82,3.0,Rhonda Rodriguez,+16991397504,OUTREACH READY
8585,260 Scott Ave,Wichita Falls,23.82,3.0,Robert Haas,+18629175775,OUTREACH READY
8501,176 Scott Ave,Wichita Falls,23.81,3.0,Nichole Wright,+16980475134,OUTREACH READY
8697,171 Indiana Ave,Wichita Falls,23.79,3.0,Jessica Taylor,+11219057040,OUTREACH READY
8661,135 Indiana Ave,Wichita Falls,23.78,3.0,Jose Lin,+16714138404,OUTREACH READY
8499,174 Scott Ave,Wichita Falls,23.75,3.0,Patricia Terry,+13607042781,OUTREACH READY
8653,127 Indiana Ave,Wichita Falls,23.75,3.0,Valerie Kennedy,+19094461863,OUTREACH READY
8657,131 Indiana Ave,Wichita Falls,23.75,3.0,Mike Alvarado,+11700649630,OUTREACH READY
8684,158 Indiana Ave,Wichita Falls,23.75,3.0,Dr. Taylor Huff,+17658891928,OUTREACH READY
8686,160 Indiana Ave,Wichita Falls,23.75,3.0,Meredith Mccarthy,+16856214009,OUTREACH READY
8655,129 Indiana Ave,Wichita Falls,23.73,3.0,Tyler Jones,+14196621564,OUTREACH READY
8659,133 Indiana Ave,Wichita Falls,23.73,3.0,Mary Hall MD,+17302341328,OUTREACH READY
8693,167 Indiana Ave,Wichita Falls,23.73,3.0,Ashley Carroll,+17375200869,OUTREACH READY
8651,125 Indiana Ave,Wichita Falls,23.69,3.0,John Johnson,+17719545607,OUTREACH READY
8663,137 Indiana Ave,Wichita Falls,23.66,3.0,Tiffany Lambert,+18092167354,OUTREACH READY
8691,165 Indiana Ave,Wichita Falls,23.66,3.0,Steve Sosa,+16490541056,OUTREACH READY
8695,169 Indiana Ave,Wichita Falls,23.66,3.0,Tanya Edwards,+17768000285,OUTREACH READY
8583,258 Scott Ave,Wichita Falls,23.65,3.0,Michael Donaldson,+17145392305,OUTREACH READY
8611,286 Scott Ave,Wichita Falls,23.61,3.0,Charles Nelson,+10852569793,OUTREACH READY
8667,141 Indiana Ave,Wichita Falls,23.6,3.0,Gail Walker,+12329041537,OUTREACH READY
8438,113 Scott Ave,Wichita Falls,23.59,3.0,Kenneth Williams,+13120954396,OUTREACH READY
8452,127 Scott Ave,Wichita Falls,23.59,3.0,Anthony Jenkins,+19943320586,OUTREACH READY
8689,163 Indiana Ave,Wichita Falls,23.59,3.0,Lisa Turner,+14971340139,OUTREACH READY
8442,117 Scott Ave,Wichita Falls,23.58,3.0,Timothy Pena,+11587097486,OUTREACH READY
8450,125 Scott Ave,Wichita Falls,23.58,3.0,Brianna Andrade,+12952664445,OUTREACH READY
8727,201 Indiana Ave,Wichita Falls,23.58,3.0,Melissa Matthews,+13235250754,OUTREACH READY
8665,139 Indiana Ave,Wichita Falls,23.57,3.0,Matthew Smith,+17089865512,OUTREACH READY
8687,161 Indiana Ave,Wichita Falls,23.56,3.0,Joshua Harvey,+16583607616,OUTREACH READY
8497,172 Scott Ave,Wichita Falls,23.54,3.0,Daniel Johnson,+17903199676,OUTREACH READY
8685,159 Indiana Ave,Wichita Falls,23.54,3.0,Christine Dorsey,+12382756587,OUTREACH READY
8454,129 Scott Ave,Wichita Falls,23.53,3.0,Justin Soto,+13562090491,OUTREACH READY
8669,143 Indiana Ave,Wichita Falls,23.53,3.0,Victoria Davila,+15718309996,OUTREACH READY
8671,145 Indiana Ave,Wichita Falls,23.53,3.0,Tina Johnson,+14451859013,OUTREACH READY
8673,147 Indiana Ave,Wichita Falls,23.53,3.0,Catherine Valentine,+15603775238,OUTREACH READY
8613,288 Scott Ave,Wichita Falls,23.5,3.0,Russell Cardenas,+19236239554,OUTREACH READY
8615,290 Scott Ave,Wichita Falls,23.49,3.0,Joel Massey,+16334166483,OUTREACH READY
8662,136 Indiana Ave,Wichita Falls,23.49,3.0,Kelly Walsh,+14658523614,OUTREACH READY
8679,153 Indiana Ave,Wichita Falls,23.49,3.0,Charles Thompson,+14006680929,OUTREACH READY
8456,131 Scott Ave,Wichita Falls,23.47,3.0,Debra Martin,+13364219854,OUTREACH READY
8446,121 Scott Ave,Wichita Falls,23.43,3.0,Kayla Weeks,+16091753317,OUTREACH READY
8617,292 Scott Ave,Wichita Falls,23.42,3.0,Roy Macias,+13760930687,OUTREACH READY
8675,149 Indiana Ave,Wichita Falls,23.42,3.0,Christina Casey,+12249491032,OUTREACH READY
8448,123 Scott Ave,Wichita Falls,23.41,3.0,Michael Williams,+14795008861,OUTREACH READY
8440,115 Scott Ave,Wichita Falls,23.4,3.0,Karen Mccann,+17991019803,OUTREACH READY
8683,157 Indiana Ave,Wichita Falls,23.4,3.0,Janice Young,+16268683069,OUTREACH READY
8681,155 Indiana Ave,Wichita Falls,23.39,3.0,Melinda Mcmillan,+18675250869,OUTREACH READY
8495,170 Scott Ave,Wichita Falls,23.37,3.0,Jake Gonzalez,+12838409110,OUTREACH READY
8493,168 Scott Ave,Wichita Falls,23.32,3.0,Michael Mcdonald,+12411950506,OUTREACH READY
8677,151 Indiana Ave,Wichita Falls,23.3,3.0,Michael Newman,+13397613215,OUTREACH READY
8619,294 Scott Ave,Wichita Falls,23.29,3.0,Benjamin Scott,+16411279884,OUTREACH READY
8491,166 Scott Ave,Wichita Falls,23.27,3.0,Rachel Green,+16562840563,OUTREACH READY
8444,119 Scott Ave,Wichita Falls,23.25,3.0,Anthony Carr MD,+15461851701,OUTREACH READY
8800,274 Indiana Ave,Wichita Falls,23.24,3.0,Monica White,+19618115028,OUTREACH READY
8489,164 Scott Ave,Wichita Falls,23.05,3.0,Mary Downs,+17068803105,OUTREACH READY
8621,296 Scott Ave,Wichita Falls,23.03,3.0,Riley Smith,+14795925689,OUTREACH READY
8554,229 Scott Ave,Wichita Falls,23.02,3.0,Alexander Conley,+15050238526,OUTREACH READY
8550,225 Scott Ave,Wichita Falls,23.0,3.0,Sonya Moore,+12321140067,OUTREACH READY
8552,227 Scott Ave,Wichita Falls,22.99,3.0,Helen Mitchell,+19602586391,OUTREACH READY
8487,162 Scott Ave,Wichita Falls,22.96,3.0,Lisa Carter,+11743281877,OUTREACH READY
8623,298 Scott Ave,Wichita Falls,22.96,3.0,Justin Chang,+12396618138,OUTREACH READY
8483,158 Scott Ave,Wichita Falls,22.94,3.0,Austin Walls,+15688134879,OUTREACH READY
8798,272 Indiana Ave,Wichita Falls,22.89,3.0,Mr. Mark Nguyen DDS,+14478719194,OUTREACH READY
8485,160 Scott Ave,Wichita Falls,22.88,3.0,Laura Hayes,+16066313340,OUTREACH READY
8734,208 Indiana Ave,Wichita Falls,22.83,3.0,Henry Nash,+18243708020,OUTREACH READY
8458,133 Scott Ave,Wichita Falls,22.82,3.0,James Werner,+10077353184,OUTREACH READY
8481,156 Scott Ave,Wichita Falls,22.79,3.0,Christopher Horn,+18293006941,OUTREACH READY
8460,135 Scott Ave,Wichita Falls,22.77,3.0,Cindy Mclaughlin,+10184572666,OUTREACH READY
8462,137 Scott Ave,Wichita Falls,22.77,3.0,Darrell Green,+14863172125,OUTREACH READY
8477,152 Scott Ave,Wichita Falls,22.77,3.0,Michele Moore,+12668302472,OUTREACH READY
8523,198 Scott Ave,Wichita Falls,22.76,3.0,James Romero,+19212551746,OUTREACH READY
8524,199 Scott Ave,Wichita Falls,22.76,3.0,Ashlee Evans,+13076871403,OUTREACH READY
8475,150 Scott Ave,Wichita Falls,22.75,3.0,George Simmons,+15009020461,OUTREACH READY
8556,231 Scott Ave,Wichita Falls,22.74,3.0,Thomas Wiggins,+15710084801,OUTREACH READY
8473,148 Scott Ave,Wichita Falls,22.7,3.0,Christine Larson,+18992268735,OUTREACH READY
8521,196 Scott Ave,Wichita Falls,22.68,3.0,Cody Bailey,+14560334718,OUTREACH READY
8558,233 Scott Ave,Wichita Falls,22.68,3.0,Jeremy Allen,+10587540770,OUTREACH READY
8796,270 Indiana Ave,Wichita Falls,22.66,3.0,Sara Miller,+19443145239,OUTREACH READY
8471,146 Scott Ave,Wichita Falls,22.59,3.0,Rachael Martin,+11770667205,OUTREACH READY
8560,235 Scott Ave,Wichita Falls,22.53,3.0,Joel Rice,+13880602006,OUTREACH READY
8464,139 Scott Ave,Wichita Falls,22.52,3.0,Jamie Clark,+16841054409,OUTREACH READY
8664,138 Indiana Ave,Wichita Falls,22.52,3.0,David Cabrera,+14055848584,OUTREACH READY
8526,201 Scott Ave,Wichita Falls,22.48,3.0,Zachary Wells,+17653565533,OUTREACH READY
8519,194 Scott Ave,Wichita Falls,22.44,3.0,Priscilla Frazier,+15691451096,OUTREACH READY
8794,268 Indiana Ave,Wichita Falls,22.44,3.0,Timothy Parrish,+10540794034,OUTREACH READY
8564,239 Scott Ave,Wichita Falls,22.38,3.0,Timothy Stout MD,+14404091502,OUTREACH READY
8467,142 Scott Ave,Wichita Falls,22.34,3.0,Daniel Acosta,+19617015335,OUTREACH READY
8469,144 Scott Ave,Wichita Falls,22.34,3.0,Jason Owens,+11043395781,OUTREACH READY
8562,237 Scott Ave,Wichita Falls,22.34,3.0,Joel Gilbert,+10773970834,OUTREACH READY
8517,192 Scott Ave,Wichita Falls,22.28,3.0,Derrick Hurley,+17192348323,OUTREACH READY
8566,241 Scott Ave,Wichita Falls,22.25,3.0,Mr. Joseph Davis DDS,+11938443530,OUTREACH READY
8570,245 Scott Ave,Wichita Falls,22.17,3.0,Kenneth Campbell,+18764907490,OUTREACH READY
8568,243 Scott Ave,Wichita Falls,22.16,3.0,Dr. Scott Sharp,+10729715882,OUTREACH READY
8792,266 Indiana Ave,Wichita Falls,22.11,3.0,Daniel Lewis,+13544646270,OUTREACH READY
8465,140 Scott Ave,Wichita Falls,22.1,3.0,Tiffany Lutz,+14663105578,OUTREACH READY
8572,247 Scott Ave,Wichita Falls,22.09,3.0,Joshua Grant,+11883221208,OUTREACH READY
8515,190 Scott Ave,Wichita Falls,22.06,3.0,Christina Nguyen,+13165384788,OUTREACH READY
8790,264 Indiana Ave,Wichita Falls,22.0,3.0,Mary Hayes,+18304626338,OUTREACH READY
8466,141 Scott Ave,Wichita Falls,21.98,3.0,Heather King,+14348473634,OUTREACH READY
8729,203 Indiana Ave,Wichita Falls,21.98,3.0,John Horton,+12566868759,OUTREACH READY
8463,138 Scott Ave,Wichita Falls,21.95,3.0,Kyle Fisher,+12365157960,OUTREACH READY
8513,188 Scott Ave,Wichita Falls,21.94,3.0,Judith Alvarez,+18892566786,OUTREACH READY
8574,249 Scott Ave,Wichita Falls,21.91,3.0,Barbara Burns,+15490957488,OUTREACH READY
8461,136 Scott Ave,Wichita Falls,21.86,3.0,Darren Barajas,+17241842469,OUTREACH READY
8578,253 Scott Ave,Wichita Falls,21.83,3.0,Jerry Martinez,+14150872460,OUTREACH READY
8730,204 Indiana Ave,Wichita Falls,21.79,3.0,Mrs. Crystal Anderson,+17583214150,OUTREACH READY
8788,262 Indiana Ave,Wichita Falls,21.79,3.0,Robin Lynch,+11865580918,OUTREACH READY
8576,251 Scott Ave,Wichita Falls,21.77,3.0,Christopher Fields,+13697936816,OUTREACH READY
8782,256 Indiana Ave,Wichita Falls,21.75,3.0,Kimberly Taylor,+14207154574,OUTREACH READY
8784,258 Indiana Ave,Wichita Falls,21.75,3.0,Christina Clark,+17165256154,OUTREACH READY
8457,132 Scott Ave,Wichita Falls,21.73,3.0,Erin Barnes,+18675549757,OUTREACH READY
8459,134 Scott Ave,Wichita Falls,21.72,3.0,Ashley Long,+17182237579,OUTREACH READY
8580,255 Scott Ave,Wichita Falls,21.7,3.0,Tabitha Cunningham,+19719793050,OUTREACH READY
8666,140 Indiana Ave,Wichita Falls,21.7,3.0,Jonathan Cooper,+17859502388,OUTREACH READY
8738,212 Indiana Ave,Wichita Falls,21.68,3.0,James Carter,+12987541584,OUTREACH READY
8584,259 Scott Ave,Wichita Falls,21.67,3.0,Steven Green,+11356061287,OUTREACH READY
8786,260 Indiana Ave,Wichita Falls,21.63,3.0,Crystal Kelly,+19325118253,OUTREACH READY
8582,257 Scott Ave,Wichita Falls,21.59,3.0,Paul Brown,+14603474937,OUTREACH READY
8455,130 Scott Ave,Wichita Falls,21.58,3.0,Michael Arellano,+11125554955,OUTREACH READY
8468,143 Scott Ave,Wichita Falls,21.57,3.0,Eric Taylor,+11843233150,OUTREACH READY
8726,200 Indiana Ave,Wichita Falls,21.55,3.0,Rebecca Woods,+12833942695,OUTREACH READY
8479,154 Scott Ave,Wichita Falls,21.53,3.0,Christopher Duncan,+14570529731,OUTREACH READY
8480,155 Scott Ave,Wichita Falls,21.53,3.0,Nicholas Guerrero,+12271685822,OUTREACH READY
