id,city,street_address,zip_code,phone_number,damage_score,event_date
7081,Sherman,"162 N Travis St",75090,+19132931257,7.3,2026-04-25
7082,Sherman,"163 N Travis St",75090,+10066589835,7.58,2026-04-25
7083,Sherman,"164 N Travis St",75090,+15328661073,7.38,2026-04-25
7084,Sherman,"165 N Travis St",75090,+17397024102,7.55,2026-04-25
7085,Sherman,"166 N Travis St",75090,+13143850033,7.39,2026-04-25
7086,Sherman,"167 N Travis St",75090,+13240778723,7.46,2026-04-25
7087,Sherman,"168 N Travis St",75090,+10263303919,7.48,2026-04-25
7088,Sherman,"169 N Travis St",75090,+16472029067,7.48,2026-04-25
7089,Sherman,"170 N Travis St",75090,+14500210037,6.29,2026-04-25
7090,Sherman,"171 N Travis St",75090,+15920616313,7.33,2026-04-25
7091,Sherman,"172 N Travis St",75090,+13122841845,6.37,2026-04-25
7092,Sherman,"173 N Travis St",75090,+17605303971,7.41,2026-04-25
7093,Sherman,"174 N Travis St",75090,+11323038793,6.3,2026-04-25
7094,Sherman,"175 N Travis St",75090,+16919666309,7.41,2026-04-25
7095,Sherman,"176 N Travis St",75090,+19391369500,6.31,2026-04-25
7096,Sherman,"177 N Travis St",75090,+12606362497,7.31,2026-04-25
7097,Sherman,"178 N Travis St",75090,+18273634738,6.54,2026-04-25
7098,Sherman,"179 N Travis St",75090,+11460210790,7.36,2026-04-25
7099,Sherman,"180 N Travis St",75090,+15674022753,6.86,2026-04-25
7100,Sherman,"181 N Travis St",75090,+16677957551,7.35,2026-04-25
7101,Sherman,"182 N Travis St",75090,+13378565773,6.86,2026-04-25
7102,Sherman,"183 N Travis St",75090,+10427730229,7.33,2026-04-25
7103,Sherman,"184 N Travis St",75090,+14237850322,7.1,2026-04-25
7104,Sherman,"185 N Travis St",75090,+15928018439,7.34,2026-04-25
7105,Sherman,"186 N Travis St",75090,+15091951702,7.1,2026-04-25
7106,Sherman,"187 N Travis St",75090,+16916322351,7.3,2026-04-25
7107,Sherman,"188 N Travis St",75090,+10092965562,6.8,2026-04-25
7108,Sherman,"189 N Travis St",75090,+14329158740,7.33,2026-04-25
7109,Sherman,"190 N Travis St",75090,+11631722020,6.86,2026-04-25
7110,Sherman,"191 N Travis St",75090,+14342004730,7.35,2026-04-25
7111,Sherman,"192 N Travis St",75090,+10757764202,6.76,2026-04-25
7112,Sherman,"193 N Travis St",75090,+11738420769,7.34,2026-04-25
7113,Sherman,"194 N Travis St",75090,+18658041570,7.1,2026-04-25
7114,Sherman,"195 N Travis St",75090,+17612326889,7.36,2026-04-25
7115,Sherman,"196 N Travis St",75090,+15671034680,7.14,2026-04-25
7116,Sherman,"197 N Travis St",75090,+15449951404,7.35,2026-04-25
7117,Sherman,"198 N Travis St",75090,+16112973577,7.38,2026-04-25
7118,Sherman,"199 N Travis St",75090,+12625841252,7.38,2026-04-25
7119,Sherman,"200 N Travis St",75090,+16484770742,6.6,2026-04-25
7120,Sherman,"201 N Travis St",75090,+15782005123,7.38,2026-04-25
7121,Sherman,"202 N Travis St",75090,+16190613511,6.69,2026-04-25
7122,Sherman,"203 N Travis St",75090,+10734774485,7.23,2026-04-25
7123,Sherman,"204 N Travis St",75090,+11459189162,7.17,2026-04-25
7124,Sherman,"205 N Travis St",75090,+11497148163,7.12,2026-04-25
7125,Sherman,"206 N Travis St",75090,+19394154771,7.02,2026-04-25
7126,Sherman,"207 N Travis St",75090,+10614640063,6.95,2026-04-25
7127,Sherman,"208 N Travis St",75090,+14048015655,6.82,2026-04-25
7128,Sherman,"209 N Travis St",75090,+10542385095,6.97,2026-04-25
7129,Sherman,"210 N Travis St",75090,+14941574307,6.84,2026-04-25
7130,Sherman,"211 N Travis St",75090,+14344248171,6.62,2026-04-25
7131,Sherman,"212 N Travis St",75090,+19725025762,6.9,2026-04-25
7132,Sherman,"213 N Travis St",75090,+16402235371,7.07,2026-04-25
7133,Sherman,"214 N Travis St",75090,+11761584450,6.96,2026-04-25
7134,Sherman,"215 N Travis St",75090,+13483144756,6.96,2026-04-25
7135,Sherman,"216 N Travis St",75090,+12386432534,6.98,2026-04-25
7136,Sherman,"217 N Travis St",75090,+10847266471,6.85,2026-04-25
7137,Sherman,"218 N Travis St",75090,+13986048529,6.91,2026-04-25
7138,Sherman,"219 N Travis St",75090,+19079782410,6.57,2026-04-25
7139,Sherman,"220 N Travis St",75090,+17961596558,6.95,2026-04-25
7140,Sherman,"221 N Travis St",75090,+17430311900,6.26,2026-04-25
7141,Sherman,"222 N Travis St",75090,+15066657297,6.91,2026-04-25
7142,Sherman,"223 N Travis St",75090,+14424684582,6.26,2026-04-25
7143,Sherman,"224 N Travis St",75090,+14642168323,6.82,2026-04-25
7144,Sherman,"225 N Travis St",75090,+16648306410,6.29,2026-04-25
7145,Sherman,"226 N Travis St",75090,+15584589406,6.68,2026-04-25
7146,Sherman,"227 N Travis St",75090,+19543028937,6.5,2026-04-25
7147,Sherman,"228 N Travis St",75090,+11033227764,6.59,2026-04-25
7148,Sherman,"229 N Travis St",75090,+18682207363,6.19,2026-04-25
7149,Sherman,"230 N Travis St",75090,+16121372872,6.75,2026-04-25
7150,Sherman,"231 N Travis St",75090,+10663472847,6.41,2026-04-25
7151,Sherman,"232 N Travis St",75090,+16041261228,6.54,2026-04-25
7152,Sherman,"233 N Travis St",75090,+19961417662,6.7,2026-04-25
7153,Sherman,"234 N Travis St",75090,+18551911681,6.49,2026-04-25
7154,Sherman,"235 N Travis St",75090,+17662176953,6.75,2026-04-25
7155,Sherman,"236 N Travis St",75090,+11389106597,6.53,2026-04-25
7156,Sherman,"237 N Travis St",75090,+11196609883,6.6,2026-04-25
7157,Sherman,"238 N Travis St",75090,+18508112463,6.62,2026-04-25
7158,Sherman,"239 N Travis St",75090,+18870975163,6.52,2026-04-25
7159,Sherman,"240 N Travis St",75090,+13236666396,6.6,2026-04-25
7160,Sherman,"241 N Travis St",75090,+10513000533,6.16,2026-04-25
7161,Sherman,"242 N Travis St",75090,+16409047252,6.57,2026-04-25
7162,Sherman,"243 N Travis St",75090,+12045808229,6.16,2026-04-25
7163,Sherman,"244 N Travis St",75090,+13355225751,6.46,2026-04-25
7164,Sherman,"245 N Travis St",75090,+14451454114,6.39,2026-04-25
7165,Sherman,"246 N Travis St",75090,+15950996026,6.42,2026-04-25
7166,Sherman,"247 N Travis St",75090,+16903389971,6.38,2026-04-25
7167,Sherman,"248 N Travis St",75090,+14265353489,6.47,2026-04-25
7168,Sherman,"249 N Travis St",75090,+11812023353,6.2,2026-04-25
7169,Sherman,"250 N Travis St",75090,+17770231214,6.39,2026-04-25
7170,Sherman,"251 N Travis St",75090,+10427467443,6.28,2026-04-25
7171,Sherman,"252 N Travis St",75090,+12465616617,6.23,2026-04-25
7172,Sherman,"253 N Travis St",75090,+13015010686,6.08,2026-04-25
7173,Sherman,"254 N Travis St",75090,+13703140778,6.33,2026-04-25
7174,Sherman,"255 N Travis St",75090,+16285406475,6.08,2026-04-25
7175,Sherman,"256 N Travis St",75090,+19687934367,6.46,2026-04-25
7176,Sherman,"257 N Travis St",75090,+11966607358,6.1,2026-04-25
7177,Sherman,"258 N Travis St",75090,+17544884645,6.19,2026-04-25
7178,Sherman,"259 N Travis St",75090,+14627354277,6.05,2026-04-25
7179,Sherman,"260 N Travis St",75090,+19569911448,6.34,2026-04-25
7180,Sherman,"261 N Travis St",75090,+13029773183,5.93,2026-04-25
7181,Sherman,"262 N Travis St",75090,+17568297675,6.26,2026-04-25
7182,Sherman,"263 N Travis St",75090,+19360507540,5.85,2026-04-25
7183,Sherman,"264 N Travis St",75090,+19008727674,6.26,2026-04-25
7184,Sherman,"265 N Travis St",75090,+12988341934,5.71,2026-04-25
7185,Sherman,"266 N Travis St",75090,+11774961297,6.33,2026-04-25
7186,Sherman,"267 N Travis St",75090,+15191948057,5.76,2026-04-25
7187,Sherman,"268 N Travis St",75090,+18357387611,6.39,2026-04-25
7188,Sherman,"269 N Travis St",75090,+17448939775,5.83,2026-04-25
7189,Sherman,"270 N Travis St",75090,+18256109827,6.51,2026-04-25
7190,Sherman,"271 N Travis St",75090,+13626748006,5.7,2026-04-25
7191,Sherman,"272 N Travis St",75090,+13824216248,6.48,2026-04-25
7192,Sherman,"273 N Travis St",75090,+18184978612,5.79,2026-04-25
7193,Sherman,"274 N Travis St",75090,+16252708375,6.43,2026-04-25
7194,Sherman,"275 N Travis St",75090,+16998413652,5.91,2026-04-25
7195,Sherman,"276 N Travis St",75090,+17531481661,6.35,2026-04-25
7196,Sherman,"277 N Travis St",75090,+11101465024,6.22,2026-04-25
7197,Sherman,"278 N Travis St",75090,+16636267116,6.16,2026-04-25
7198,Sherman,"279 N Travis St",75090,+11083272607,6.27,2026-04-25
7199,Sherman,"280 N Travis St",75090,+10722302396,6.21,2026-04-25
7200,Sherman,"281 N Travis St",75090,+16726230683,6.32,2026-04-25
7201,Sherman,"282 N Travis St",75090,+11701674273,6.21,2026-04-25
7202,Sherman,"283 N Travis St",75090,+16709921076,6.53,2026-04-25
7203,Sherman,"284 N Travis St",75090,+13252512763,6.18,2026-04-25
7204,Sherman,"285 N Travis St",75090,+12809729337,6.33,2026-04-25
7205,Sherman,"286 N Travis St",75090,+11202926443,6.31,2026-04-25
7206,Sherman,"287 N Travis St",75090,+14190056713,6.58,2026-04-25
7207,Sherman,"288 N Travis St",75090,+10949161979,6.0,2026-04-25
7208,Sherman,"289 N Travis St",75090,+17649149734,6.58,2026-04-25
7209,Sherman,"290 N Travis St",75090,+17686733568,6.04,2026-04-25
7210,Sherman,"291 N Travis St",75090,+10327246366,6.58,2026-04-25
7211,Sherman,"292 N Travis St",75090,+14191604382,6.04,2026-04-25
7212,Sherman,"293 N Travis St",75090,+18567435635,6.58,2026-04-25
7213,Sherman,"294 N Travis St",75090,+13420876428,5.87,2026-04-25
7214,Sherman,"295 N Travis St",75090,+15031509024,6.43,2026-04-25
7215,Sherman,"296 N Travis St",75090,+16722656175,5.94,2026-04-25
7216,Sherman,"297 N Travis St",75090,+16608879798,6.47,2026-04-25
7217,Sherman,"298 N Travis St",75090,+10613589309,6.16,2026-04-25
7218,Sherman,"299 N Travis St",75090,+18239923632,6.42,2026-04-25
7219,Sherman,"300 N Travis St",75090,+15269973639,5.79,2026-04-25
7220,Sherman,"100 W Houston St",75090,+18728198686,7.39,2026-04-25
7221,Sherman,"101 W Houston St",75090,+13206943401,6.78,2026-04-25
7222,Sherman,"102 W Houston St",75090,+15899302643,7.47,2026-04-25
7223,Sherman,"103 W Houston St",75090,+15299796871,6.87,2026-04-25
7224,Sherman,"104 W Houston St",75090,+11125246210,7.45,2026-04-25
7225,Sherman,"105 W Houston St",75090,+14614428224,7.27,2026-04-25
7226,Sherman,"106 W Houston St",75090,+13220872931,7.45,2026-04-25
7227,Sherman,"107 W Houston St",75090,+17377780870,7.39,2026-04-25
7228,Sherman,"108 W Houston St",75090,+17506937745,7.3,2026-04-25
7229,Sherman,"109 W Houston St",75090,+10625744089,7.15,2026-04-25
7230,Sherman,"110 W Houston St",75090,+10767848186,7.19,2026-04-25
7231,Sherman,"111 W Houston St",75090,+19536024238,7.26,2026-04-25
7232,Sherman,"112 W Houston St",75090,+17907826533,7.26,2026-04-25
7233,Sherman,"113 W Houston St",75090,+13845555738,7.47,2026-04-25
7234,Sherman,"114 W Houston St",75090,+11152773465,7.22,2026-04-25
7235,Sherman,"115 W Houston St",75090,+14417676850,7.49,2026-04-25
7236,Sherman,"116 W Houston St",75090,+18264820677,7.12,2026-04-25
7237,Sherman,"117 W Houston St",75090,+19360678814,7.0,2026-04-25
7238,Sherman,"118 W Houston St",75090,+16422448351,6.94,2026-04-25
7239,Sherman,"119 W Houston St",75090,+18607631776,6.91,2026-04-25
7240,Sherman,"120 W Houston St",75090,+13121672251,6.99,2026-04-25
7241,Sherman,"121 W Houston St",75090,+12335795856,7.1,2026-04-25
7242,Sherman,"122 W Houston St",75090,+18554837838,7.05,2026-04-25
7243,Sherman,"123 W Houston St",75090,+12084636826,7.22,2026-04-25
7244,Sherman,"124 W Houston St",75090,+12189325675,7.07,2026-04-25
7245,Sherman,"125 W Houston St",75090,+13366833734,7.05,2026-04-25
7246,Sherman,"126 W Houston St",75090,+18845616267,6.84,2026-04-25
7247,Sherman,"127 W Houston St",75090,+17823208953,6.95,2026-04-25
7248,Sherman,"128 W Houston St",75090,+12538431093,6.74,2026-04-25
7249,Sherman,"129 W Houston St",75090,+10008837557,6.97,2026-04-25
7250,Sherman,"130 W Houston St",75090,+14733673215,6.79,2026-04-25
7251,Sherman,"131 W Houston St",75090,+14784111777,6.93,2026-04-25
7252,Sherman,"132 W Houston St",75090,+17210898195,6.66,2026-04-25
7253,Sherman,"133 W Houston St",75090,+15164447660,6.93,2026-04-25
7254,Sherman,"134 W Houston St",75090,+10479873948,6.6,2026-04-25
7255,Sherman,"135 W Houston St",75090,+17047349399,6.96,2026-04-25
7256,Sherman,"136 W Houston St",75090,+17575476129,6.53,2026-04-25
7257,Sherman,"137 W Houston St",75090,+11404669658,7.04,2026-04-25
7258,Sherman,"138 W Houston St",75090,+17044567323,6.44,2026-04-25
7259,Sherman,"139 W Houston St",75090,+12038981211,7.04,2026-04-25
7260,Sherman,"140 W Houston St",75090,+17633956559,6.4,2026-04-25
7261,Sherman,"141 W Houston St",75090,+12039918179,6.99,2026-04-25
7262,Sherman,"142 W Houston St",75090,+19811946332,6.52,2026-04-25
7263,Sherman,"143 W Houston St",75090,+10703615500,7.02,2026-04-25
7264,Sherman,"144 W Houston St",75090,+19377484210,6.4,2026-04-25
7265,Sherman,"145 W Houston St",75090,+10659437318,7.03,2026-04-25
7266,Sherman,"146 W Houston St",75090,+18114616293,6.49,2026-04-25
7267,Sherman,"147 W Houston St",75090,+11728652127,7.03,2026-04-25
7268,Sherman,"148 W Houston St",75090,+12522238977,6.38,2026-04-25
7269,Sherman,"149 W Houston St",75090,+11896047398,7.03,2026-04-25
7270,Sherman,"150 W Houston St",75090,+19802026327,6.5,2026-04-25
7271,Sherman,"151 W Houston St",75090,+11591231266,7.01,2026-04-25
7272,Sherman,"152 W Houston St",75090,+12828328809,6.48,2026-04-25
7273,Sherman,"153 W Houston St",75090,+11136151754,6.96,2026-04-25
7274,Sherman,"154 W Houston St",75090,+13974458695,6.47,2026-04-25
7275,Sherman,"155 W Houston St",75090,+15602669831,7.0,2026-04-25
7276,Sherman,"156 W Houston St",75090,+13855566742,6.4,2026-04-25
7277,Sherman,"157 W Houston St",75090,+13185146600,7.02,2026-04-25
7278,Sherman,"158 W Houston St",75090,+11324541830,6.4,2026-04-25
7279,Sherman,"159 W Houston St",75090,+15123118891,7.03,2026-04-25
7280,Sherman,"160 W Houston St",75090,+15360467460,6.5,2026-04-25
7281,Sherman,"161 W Houston St",75090,+15757222327,7.06,2026-04-25
7282,Sherman,"162 W Houston St",75090,+15312723495,6.42,2026-04-25
7283,Sherman,"163 W Houston St",75090,+11449266126,7.05,2026-04-25
7284,Sherman,"164 W Houston St",75090,+15847540481,6.51,2026-04-25
7285,Sherman,"165 W Houston St",75090,+14478635639,7.09,2026-04-25
7286,Sherman,"166 W Houston St",75090,+13313807018,6.48,2026-04-25
7287,Sherman,"167 W Houston St",75090,+18836933653,7.1,2026-04-25
7288,Sherman,"168 W Houston St",75090,+17043279560,6.53,2026-04-25
7289,Sherman,"169 W Houston St",75090,+14303623082,7.09,2026-04-25
7290,Sherman,"170 W Houston St",75090,+14252208449,6.52,2026-04-25
7291,Sherman,"171 W Houston St",75090,+16898247206,6.99,2026-04-25
7292,Sherman,"172 W Houston St",75090,+18661123925,6.53,2026-04-25
7293,Sherman,"173 W Houston St",75090,+11534651122,7.0,2026-04-25
7294,Sherman,"174 W Houston St",75090,+13622803683,6.51,2026-04-25
7295,Sherman,"175 W Houston St",75090,+11575506017,7.02,2026-04-25
7296,Sherman,"176 W Houston St",75090,+11751788571,6.53,2026-04-25
7297,Sherman,"177 W Houston St",75090,+18141636526,7.04,2026-04-25
7298,Sherman,"178 W Houston St",75090,+15623766811,6.61,2026-04-25
7299,Sherman,"179 W Houston St",75090,+11827694653,7.08,2026-04-25
7300,Sherman,"180 W Houston St",75090,+17421813834,6.68,2026-04-25
7301,Sherman,"181 W Houston St",75090,+12405910773,7.05,2026-04-25
7302,Sherman,"182 W Houston St",75090,+17752777380,6.74,2026-04-25
7303,Sherman,"183 W Houston St",75090,+19290819628,7.02,2026-04-25
7304,Sherman,"184 W Houston St",75090,+10111027079,6.9,2026-04-25
7305,Sherman,"185 W Houston St",75090,+14266690604,7.0,2026-04-25
7306,Sherman,"186 W Houston St",75090,+15621632391,7.04,2026-04-25
7307,Sherman,"187 W Houston St",75090,+10777016342,7.06,2026-04-25
7308,Sherman,"188 W Houston St",75090,+18476600516,7.03,2026-04-25
7309,Sherman,"189 W Houston St",75090,+12871745227,7.08,2026-04-25
7310,Sherman,"190 W Houston St",75090,+14031203164,7.04,2026-04-25
7311,Sherman,"191 W Houston St",75090,+18981836197,6.97,2026-04-25
7312,Sherman,"192 W Houston St",75090,+11237618828,6.84,2026-04-25
7313,Sherman,"193 W Houston St",75090,+11030388210,7.05,2026-04-25
7314,Sherman,"194 W Houston St",75090,+19799911903,6.82,2026-04-25
7315,Sherman,"195 W Houston St",75090,+12145369217,7.02,2026-04-25
7316,Sherman,"196 W Houston St",75090,+15880686421,6.58,2026-04-25
7317,Sherman,"197 W Houston St",75090,+15604727209,7.07,2026-04-25
7318,Sherman,"198 W Houston St",75090,+14562311957,6.55,2026-04-25
7319,Sherman,"199 W Houston St",75090,+17254324064,7.07,2026-04-25
7320,Sherman,"200 W Houston St",75090,+11762757091,6.67,2026-04-25
7321,Sherman,"201 W Houston St",75090,+17070952014,6.55,2026-04-25
7322,Sherman,"202 W Houston St",75090,+14372048561,6.76,2026-04-25
7323,Sherman,"203 W Houston St",75090,+14702387855,6.53,2026-04-25
7324,Sherman,"204 W Houston St",75090,+18921552369,6.86,2026-04-25
7325,Sherman,"205 W Houston St",75090,+17369123076,6.21,2026-04-25
7326,Sherman,"206 W Houston St",75090,+10721456605,6.56,2026-04-25
7327,Sherman,"207 W Houston St",75090,+10558373766,6.11,2026-04-25
7328,Sherman,"208 W Houston St",75090,+17088306828,6.64,2026-04-25
7329,Sherman,"209 W Houston St",75090,+15254907084,6.17,2026-04-25
7330,Sherman,"210 W Houston St",75090,+18920533986,6.68,2026-04-25
7331,Sherman,"211 W Houston St",75090,+15334544698,6.12,2026-04-25
7332,Sherman,"212 W Houston St",75090,+19905494074,6.79,2026-04-25
7333,Sherman,"213 W Houston St",75090,+13343334500,6.62,2026-04-25
7334,Sherman,"214 W Houston St",75090,+18834016039,6.55,2026-04-25
7335,Sherman,"215 W Houston St",75090,+15425896697,6.53,2026-04-25
7336,Sherman,"216 W Houston St",75090,+18661274409,6.84,2026-04-25
7337,Sherman,"217 W Houston St",75090,+14193843433,6.54,2026-04-25
7338,Sherman,"218 W Houston St",75090,+11765002925,6.63,2026-04-25
7339,Sherman,"219 W Houston St",75090,+16003051569,7.45,2026-04-25
7340,Sherman,"220 W Houston St",75090,+15433278236,6.36,2026-04-25
7341,Sherman,"221 W Houston St",75090,+11048257114,7.13,2026-04-25
7342,Sherman,"222 W Houston St",75090,+18590423766,6.52,2026-04-25
7343,Sherman,"223 W Houston St",75090,+15982908814,6.64,2026-04-25
7344,Sherman,"224 W Houston St",75090,+11436920877,6.23,2026-04-25
7345,Sherman,"225 W Houston St",75090,+10140247948,7.05,2026-04-25
7346,Sherman,"226 W Houston St",75090,+16864874917,6.67,2026-04-25
7347,Sherman,"227 W Houston St",75090,+13381375157,6.97,2026-04-25
7348,Sherman,"228 W Houston St",75090,+18232918041,6.69,2026-04-25
7349,Sherman,"229 W Houston St",75090,+17770685181,6.83,2026-04-25
7350,Sherman,"230 W Houston St",75090,+18437607991,6.54,2026-04-25
7351,Sherman,"231 W Houston St",75090,+19432834685,6.76,2026-04-25
7352,Sherman,"232 W Houston St",75090,+10468983311,6.84,2026-04-25
7353,Sherman,"233 W Houston St",75090,+13480656452,6.92,2026-04-25
7354,Sherman,"234 W Houston St",75090,+11106741327,6.66,2026-04-25
7355,Sherman,"235 W Houston St",75090,+12584449922,6.69,2026-04-25
7356,Sherman,"236 W Houston St",75090,+16259771784,6.63,2026-04-25
7357,Sherman,"237 W Houston St",75090,+11575146551,6.76,2026-04-25
7358,Sherman,"238 W Houston St",75090,+14085909011,6.56,2026-04-25
7359,Sherman,"239 W Houston St",75090,+18030648699,6.63,2026-04-25
7360,Sherman,"240 W Houston St",75090,+11051262081,6.44,2026-04-25
7361,Sherman,"241 W Houston St",75090,+17946761942,6.67,2026-04-25
7362,Sherman,"242 W Houston St",75090,+11713688394,6.48,2026-04-25
7363,Sherman,"243 W Houston St",75090,+11245418217,6.61,2026-04-25
7364,Sherman,"244 W Houston St",75090,+19412231582,6.39,2026-04-25
7365,Sherman,"245 W Houston St",75090,+16309932870,6.54,2026-04-25
7366,Sherman,"246 W Houston St",75090,+14029132253,6.48,2026-04-25
7367,Sherman,"247 W Houston St",75090,+11309772208,6.53,2026-04-25
7368,Sherman,"248 W Houston St",75090,+16799598240,6.4,2026-04-25
7369,Sherman,"249 W Houston St",75090,+14308137051,6.51,2026-04-25
7370,Sherman,"250 W Houston St",75090,+11773919261,6.46,2026-04-25
7371,Sherman,"251 W Houston St",75090,+19621772676,6.55,2026-04-25
7372,Sherman,"252 W Houston St",75090,+18923792824,6.43,2026-04-25
7373,Sherman,"253 W Houston St",75090,+13469704330,6.65,2026-04-25
7374,Sherman,"254 W Houston St",75090,+15132414223,6.41,2026-04-25
7375,Sherman,"255 W Houston St",75090,+14694457586,6.59,2026-04-25
7376,Sherman,"256 W Houston St",75090,+12926780697,6.45,2026-04-25
7377,Sherman,"257 W Houston St",75090,+19550592045,6.61,2026-04-25
7378,Sherman,"258 W Houston St",75090,+15032939804,6.42,2026-04-25
7379,Sherman,"259 W Houston St",75090,+16396324948,6.6,2026-04-25
7380,Sherman,"260 W Houston St",75090,+14936408490,6.36,2026-04-25
7381,Sherman,"261 W Houston St",75090,+17590201709,6.57,2026-04-25
7382,Sherman,"262 W Houston St",75090,+18421239800,6.36,2026-04-25
