homeowner_name,phone_number,street_address,city,state,damage_score
"DEEP SEARCH REQ",+14055553559,"155 E 2nd St",Edmond,OK,55.6
"DEEP SEARCH REQ",+14055553561,"157 E 2nd St",Edmond,OK,55.32
"DEEP SEARCH REQ",+14055553563,"159 E 2nd St",Edmond,OK,54.74
"DEEP SEARCH REQ",+14055553567,"163 E 2nd St",Edmond,OK,54.45
"DEEP SEARCH REQ",+14055553565,"161 E 2nd St",Edmond,OK,54.18
"DEEP SEARCH REQ",+14055553569,"165 E 2nd St",Edmond,OK,53.97
"DEEP SEARCH REQ",+14055553571,"167 E 2nd St",Edmond,OK,53.25
"DEEP SEARCH REQ",+14055553577,"173 E 2nd St",Edmond,OK,52.61
"DEEP SEARCH REQ",+14055553573,"169 E 2nd St",Edmond,OK,52.58
"DEEP SEARCH REQ",+14055553575,"171 E 2nd St",Edmond,OK,52.48
"DEEP SEARCH REQ",+14055553579,"175 E 2nd St",Edmond,OK,52.32
"DEEP SEARCH REQ",+14055553581,"177 E 2nd St",Edmond,OK,51.67
"Andrew Rivas",+14055553908,"203 W Main St",Norman,OK,51.27
"DEEP SEARCH REQ",+14055553527,"123 E 2nd St",Edmond,OK,51.18
"DEEP SEARCH REQ",+14055553553,"149 E 2nd St",Edmond,OK,50.53
"DEEP SEARCH REQ",+14055553968,"263 W Main St",Norman,OK,50.51
"DEEP SEARCH REQ",+14055553974,"269 W Main St",Norman,OK,50.45
"DEEP SEARCH REQ",+14055553549,"145 E 2nd St",Edmond,OK,50.38
"DEEP SEARCH REQ",+14055553551,"147 E 2nd St",Edmond,OK,50.38
"DEEP SEARCH REQ",+14055553970,"265 W Main St",Norman,OK,50.34
"David Peterson",+14055553932,"227 W Main St",Norman,OK,50.24
"DEEP SEARCH REQ",+14055553976,"271 W Main St",Norman,OK,50.24
"DEEP SEARCH REQ",+14055553956,"251 W Main St",Norman,OK,50.23
"DEEP SEARCH REQ",+14055553962,"257 W Main St",Norman,OK,50.22
"DEEP SEARCH REQ",+14055553954,"249 W Main St",Norman,OK,50.2
"DEEP SEARCH REQ",+14055553950,"245 W Main St",Norman,OK,50.19
"DEEP SEARCH REQ",+14055553952,"247 W Main St",Norman,OK,50.17
"DEEP SEARCH REQ",+14055553960,"255 W Main St",Norman,OK,50.17
"DEEP SEARCH REQ",+14055553980,"275 W Main St",Norman,OK,50.15
"DEEP SEARCH REQ",+14055553958,"253 W Main St",Norman,OK,50.14
"DEEP SEARCH REQ",+14055553972,"267 W Main St",Norman,OK,50.11
"DEEP SEARCH REQ",+14055553946,"241 W Main St",Norman,OK,50.1
"DEEP SEARCH REQ",+14055553948,"243 W Main St",Norman,OK,50.09
"DEEP SEARCH REQ",+14055553966,"261 W Main St",Norman,OK,50.07
"DEEP SEARCH REQ",+14055553964,"259 W Main St",Norman,OK,50.04
"DEEP SEARCH REQ",+14055553978,"273 W Main St",Norman,OK,49.99
"DEEP SEARCH REQ",+14055553944,"239 W Main St",Norman,OK,49.89
"DEEP SEARCH REQ",+14055553519,"115 E 2nd St",Edmond,OK,49.74
"DEEP SEARCH REQ",+14055553521,"117 E 2nd St",Edmond,OK,49.63
"DEEP SEARCH REQ",+14055553942,"237 W Main St",Norman,OK,49.62
"DEEP SEARCH REQ",+14055553938,"233 W Main St",Norman,OK,49.58
"DEEP SEARCH REQ",+14055553940,"235 W Main St",Norman,OK,49.5
"DEEP SEARCH REQ",+14055553517,"113 E 2nd St",Edmond,OK,49.47
"DEEP SEARCH REQ",+14055553906,"201 W Main St",Norman,OK,49.3
"Christina Hicks",+14055553936,"231 W Main St",Norman,OK,48.78
"Grant Ray",+14055553934,"229 W Main St",Norman,OK,48.61
"DEEP SEARCH REQ",+14055553583,"179 E 2nd St",Edmond,OK,48.4
"Rhonda Richardson",+14055553912,"207 W Main St",Norman,OK,48.28
"DEEP SEARCH REQ",+14055553930,"225 W Main St",Norman,OK,48.17
"DEEP SEARCH REQ",+14055553515,"111 E 2nd St",Edmond,OK,48.09
"DEEP SEARCH REQ",+14055555787,"120 NW 10th St","Oklahoma City",OK,47.87
"Brianna Gallagher",+14055553910,"205 W Main St",Norman,OK,47.75
"DEEP SEARCH REQ",+14055553585,"181 E 2nd St",Edmond,OK,47.45
"Charles Parker",+14055553513,"109 E 2nd St",Edmond,OK,47.23
"Local Resident",+14055550327,"171 Pine Blvd",Torresmouth,OKLAHOMA,47.2
"Kimberly Rodgers",+14055553827,"122 W Main St",Norman,OK,47.09
"DEEP SEARCH REQ",+14055553603,"199 E 2nd St",Edmond,OK,47.07
"DEEP SEARCH REQ",+14055553600,"196 E 2nd St",Edmond,OK,46.99
"DEEP SEARCH REQ",+14055553587,"183 E 2nd St",Edmond,OK,46.95
"Craig Johnson",+14055553914,"209 W Main St",Norman,OK,46.67
"DEEP SEARCH REQ",+14055553602,"198 E 2nd St",Edmond,OK,46.61
"DEEP SEARCH REQ",+14055553834,"129 W Main St",Norman,OK,46.54
"DEEP SEARCH REQ",+14055553894,"189 W Main St",Norman,OK,46.35
"DEEP SEARCH REQ",+14055553589,"185 E 2nd St",Edmond,OK,46.29
"DEEP SEARCH REQ",+14055553892,"187 W Main St",Norman,OK,46.16
"DEEP SEARCH REQ",+14055553888,"183 W Main St",Norman,OK,45.97
"DEEP SEARCH REQ",+14055553890,"185 W Main St",Norman,OK,45.95
"DEEP SEARCH REQ",+14055553530,"126 E 2nd St",Edmond,OK,45.94
"DEEP SEARCH REQ",+14055553531,"127 E 2nd St",Edmond,OK,45.94
"DEEP SEARCH REQ",+14055553532,"128 E 2nd St",Edmond,OK,45.94
"DEEP SEARCH REQ",+14055553878,"173 W Main St",Norman,OK,45.92
"DEEP SEARCH REQ",+14055553886,"181 W Main St",Norman,OK,45.79
"DEEP SEARCH REQ",+14055553884,"179 W Main St",Norman,OK,45.76
"DEEP SEARCH REQ",+14055553591,"187 E 2nd St",Edmond,OK,45.75
"DEEP SEARCH REQ",+14055556043,"175 N May Ave","Oklahoma City",OK,45.73
"DEEP SEARCH REQ",+14055553880,"175 W Main St",Norman,OK,45.59
"DEEP SEARCH REQ",+14055553882,"177 W Main St",Norman,OK,45.54
"DEEP SEARCH REQ",+14055553872,"167 W Main St",Norman,OK,45.46
"DEEP SEARCH REQ",+14055553876,"171 W Main St",Norman,OK,45.35
"DEEP SEARCH REQ",+14055553866,"161 W Main St",Norman,OK,45.3
"DEEP SEARCH REQ",+14055553870,"165 W Main St",Norman,OK,45.3
"DEEP SEARCH REQ",+14055553874,"169 W Main St",Norman,OK,45.19
"DEEP SEARCH REQ",+14055553902,"197 W Main St",Norman,OK,45.19
"DEEP SEARCH REQ",+14055553868,"163 W Main St",Norman,OK,45.18
"DEEP SEARCH REQ",+14055553593,"189 E 2nd St",Edmond,OK,45.13
"DEEP SEARCH REQ",+14055553900,"195 W Main St",Norman,OK,45.03
"DEEP SEARCH REQ",+14055553899,"194 W Main St",Norman,OK,45.01
"DEEP SEARCH REQ",+14055553596,"192 E 2nd St",Edmond,OK,44.96
"Amy Moreno",+14055553832,"127 W Main St",Norman,OK,44.94
"DEEP SEARCH REQ",+14055553864,"159 W Main St",Norman,OK,44.93
"DEEP SEARCH REQ",+14055553898,"193 W Main St",Norman,OK,44.91
"DEEP SEARCH REQ",+14055553903,"198 W Main St",Norman,OK,44.91
"DEEP SEARCH REQ",+14055553904,"199 W Main St",Norman,OK,44.9
"DEEP SEARCH REQ",+14055553594,"190 E 2nd St",Edmond,OK,44.89
"DEEP SEARCH REQ",+14055553598,"194 E 2nd St",Edmond,OK,44.86
"DEEP SEARCH REQ",+14055553896,"191 W Main St",Norman,OK,44.84
"DEEP SEARCH REQ",+14055553901,"196 W Main St",Norman,OK,44.81
"DEEP SEARCH REQ",+14055553862,"157 W Main St",Norman,OK,44.78
"DEEP SEARCH REQ",+14055555785,"118 NW 10th St","Oklahoma City",OK,44.76
"DEEP SEARCH REQ",+14055554203,"297 SW 24th Ave",Norman,OK,44.71
"Lance Sanders",+14055553831,"126 W Main St",Norman,OK,44.7
"DEEP SEARCH REQ",+14055553833,"128 W Main St",Norman,OK,44.67
"DEEP SEARCH REQ",+14055553839,"134 W Main St",Norman,OK,44.66
Homeowner,+14055554194,"288 SW 24th Ave",Norman,OK,44.63
Homeowner,+14055553928,"223 W Main St",Norman,OK,44.6
Homeowner,+14055554204,"298 SW 24th Ave",Norman,OK,44.59
Homeowner,+14055553848,"143 W Main St",Norman,OK,44.58
Homeowner,+14055553835,"130 W Main St",Norman,OK,44.57
Homeowner,+14055553850,"145 W Main St",Norman,OK,44.57
Homeowner,+14055554206,"300 SW 24th Ave",Norman,OK,44.56
Homeowner,+14055553860,"155 W Main St",Norman,OK,44.54
Homeowner,+14055554205,"299 SW 24th Ave",Norman,OK,44.54
Homeowner,+14055553595,"191 E 2nd St",Edmond,OK,44.53
Homeowner,+14055553854,"149 W Main St",Norman,OK,44.53
Homeowner,+14055553592,"188 E 2nd St",Edmond,OK,44.51
Homeowner,+14055554195,"289 SW 24th Ave",Norman,OK,44.48
Homeowner,+14055553852,"147 W Main St",Norman,OK,44.47
Homeowner,+14055553523,"119 E 2nd St",Edmond,OK,44.41
Homeowner,+14055553525,"121 E 2nd St",Edmond,OK,44.41
Homeowner,+14055553856,"151 W Main St",Norman,OK,44.39
Homeowner,+14055554196,"290 SW 24th Ave",Norman,OK,44.39
Homeowner,+14055554193,"287 SW 24th Ave",Norman,OK,44.38
Homeowner,+14055554198,"292 SW 24th Ave",Norman,OK,44.38
Homeowner,+14055554200,"294 SW 24th Ave",Norman,OK,44.38
Homeowner,+14055553858,"153 W Main St",Norman,OK,44.37
Homeowner,+14055553841,"136 W Main St",Norman,OK,44.36
Homeowner,+14055553843,"138 W Main St",Norman,OK,44.36
Homeowner,+14055554192,"286 SW 24th Ave",Norman,OK,44.36
Homeowner,+14055554199,"293 SW 24th Ave",Norman,OK,44.34
Homeowner,+14055553846,"141 W Main St",Norman,OK,44.33
Homeowner,+14055553977,"272 W Main St",Norman,OK,44.32
Homeowner,+14055553604,"200 E 2nd St",Edmond,OK,44.31
Homeowner,+14055553982,"277 W Main St",Norman,OK,44.31
Homeowner,+14055554197,"291 SW 24th Ave",Norman,OK,44.31
Homeowner,+14055553845,"140 W Main St",Norman,OK,44.3
Homeowner,+14055556152,"284 N May Ave","Oklahoma City",OK,44.27
Homeowner,+14055554222,"115 W Robinson St",Norman,OK,44.24
Homeowner,+14055554190,"284 SW 24th Ave",Norman,OK,44.23
Homeowner,+14055554201,"295 SW 24th Ave",Norman,OK,44.22
Homeowner,+14055553844,"139 W Main St",Norman,OK,44.21
Homeowner,+14055553916,"211 W Main St",Norman,OK,44.18
Homeowner,+14055554188,"282 SW 24th Ave",Norman,OK,44.18
Homeowner,+14055554189,"283 SW 24th Ave",Norman,OK,44.17
Homeowner,+14055553590,"186 E 2nd St",Edmond,OK,44.15
Homeowner,+14055553840,"135 W Main St",Norman,OK,44.15
Homeowner,+14055553975,"270 W Main St",Norman,OK,44.14
Homeowner,+14055554191,"285 SW 24th Ave",Norman,OK,44.14
Homeowner,+14055553842,"137 W Main St",Norman,OK,44.11
Homeowner,+14055554202,"296 SW 24th Ave",Norman,OK,44.09
Homeowner,+14055556686,"216 E 1st St",Tulsa,OK,44.09
Homeowner,+14055553849,"144 W Main St",Norman,OK,44.06
Homeowner,+14055555791,"124 NW 10th St","Oklahoma City",OK,44.05
Homeowner,+14055553913,"208 W Main St",Norman,OK,44.04
Homeowner,+14055554186,"280 SW 24th Ave",Norman,OK,44.04
Homeowner,+14055556688,"218 E 1st St",Tulsa,OK,44.03
Homeowner,+14055556689,"219 E 1st St",Tulsa,OK,44.03
Homeowner,+14055556690,"220 E 1st St",Tulsa,OK,44.03
Homeowner,+14055556691,"221 E 1st St",Tulsa,OK,44.03
Homeowner,+14055553847,"142 W Main St",Norman,OK,43.98
Homeowner,+14055553981,"276 W Main St",Norman,OK,43.98
Homeowner,+14055553984,"279 W Main St",Norman,OK,43.96
Homeowner,+14055553986,"281 W Main St",Norman,OK,43.93
Homeowner,+14055554187,"281 SW 24th Ave",Norman,OK,43.91
Homeowner,+14055553838,"133 W Main St",Norman,OK,43.88
Homeowner,+14055553979,"274 W Main St",Norman,OK,43.88
Homeowner,+14055553983,"278 W Main St",Norman,OK,43.88
Homeowner,+14055553988,"283 W Main St",Norman,OK,43.88
Homeowner,+14055553985,"280 W Main St",Norman,OK,43.86
Homeowner,+14055553597,"193 E 2nd St",Edmond,OK,43.85
Homeowner,+14055553829,"124 W Main St",Norman,OK,43.85
Homeowner,+14055553990,"285 W Main St",Norman,OK,43.76
Homeowner,+14055553586,"182 E 2nd St",Edmond,OK,43.7
Homeowner,+14055553588,"184 E 2nd St",Edmond,OK,43.68
Homeowner,+14055553851,"146 W Main St",Norman,OK,43.68
Homeowner,+14055554184,"278 SW 24th Ave",Norman,OK,43.68
Homeowner,+14055556677,"207 E 1st St",Tulsa,OK,43.68
Homeowner,+14055556678,"208 E 1st St",Tulsa,OK,43.68
Homeowner,+14055556679,"209 E 1st St",Tulsa,OK,43.68
Homeowner,+14055556680,"210 E 1st St",Tulsa,OK,43.68
Homeowner,+14055553987,"282 W Main St",Norman,OK,43.67
Homeowner,+14055553836,"131 W Main St",Norman,OK,43.64
Homeowner,+14055553853,"148 W Main St",Norman,OK,43.62
Homeowner,+14055554182,"276 SW 24th Ave",Norman,OK,43.62
Homeowner,+14055554185,"279 SW 24th Ave",Norman,OK,43.58
Homeowner,+14055554278,"171 W Robinson St",Norman,OK,43.57
Homeowner,+14055554180,"274 SW 24th Ave",Norman,OK,43.55
Homeowner,+14055554181,"275 SW 24th Ave",Norman,OK,43.53
Homeowner,+14055555857,"190 NW 10th St","Oklahoma City",OK,43.53
Homeowner,+14055554183,"277 SW 24th Ave",Norman,OK,43.52
Homeowner,+14055556684,"214 E 1st St",Tulsa,OK,43.52
Homeowner,+14055553568,"164 E 2nd St",Edmond,OK,43.51
Homeowner,+14055553989,"284 W Main St",Norman,OK,43.51
Homeowner,+14055555859,"192 NW 10th St","Oklahoma City",OK,43.51
Homeowner,+14055553992,"287 W Main St",Norman,OK,43.5
Homeowner,+14055553919,"214 W Main St",Norman,OK,43.49
Homeowner,+14055553584,"180 E 2nd St",Edmond,OK,43.47
Homeowner,+14055553991,"286 W Main St",Norman,OK,43.46
Homeowner,+14055553994,"289 W Main St",Norman,OK,43.46
Homeowner,+14055553993,"288 W Main St",Norman,OK,43.44
Homeowner,+14055553998,"293 W Main St",Norman,OK,43.43
Homeowner,+14055554282,"175 W Robinson St",Norman,OK,43.43
Homeowner,+14055556695,"225 E 1st St",Tulsa,OK,43.43
Homeowner,+14055553582,"178 E 2nd St",Edmond,OK,43.42
Homeowner,+14055553997,"292 W Main St",Norman,OK,43.42
Homeowner,+14055555855,"188 NW 10th St","Oklahoma City",OK,43.41
Homeowner,+14055553855,"150 W Main St",Norman,OK,43.39
Homeowner,+14055554179,"273 SW 24th Ave",Norman,OK,43.39
Homeowner,+14055555853,"186 NW 10th St","Oklahoma City",OK,43.38
Homeowner,+14055554178,"272 SW 24th Ave",Norman,OK,43.37
Homeowner,+14055555865,"198 NW 10th St","Oklahoma City",OK,43.36
Homeowner,+14055555866,"199 NW 10th St","Oklahoma City",OK,43.36
Homeowner,+14055555863,"196 NW 10th St","Oklahoma City",OK,43.34
Homeowner,+14055553922,"217 W Main St",Norman,OK,43.32
Homeowner,+14055555861,"194 NW 10th St","Oklahoma City",OK,43.31
Homeowner,+14055553607,"203 E 2nd St",Edmond,OK,43.3
Homeowner,+14055553599,"195 E 2nd St",Edmond,OK,43.29
Homeowner,+14055553548,"144 E 2nd St",Edmond,OK,43.27
Homeowner,+14055553996,"291 W Main St",Norman,OK,43.26
Homeowner,+14055554224,"117 W Robinson St",Norman,OK,43.26
Homeowner,+14055553859,"154 W Main St",Norman,OK,43.22
Homeowner,+14055553995,"290 W Main St",Norman,OK,43.2
Homeowner,+14055553999,"294 W Main St",Norman,OK,43.2
Homeowner,+14055555851,"184 NW 10th St","Oklahoma City",OK,43.19
Homeowner,+14055556072,"204 N May Ave","Oklahoma City",OK,43.19
Homeowner,+14055554000,"295 W Main St",Norman,OK,43.18
Homeowner,+14055553546,"142 E 2nd St",Edmond,OK,43.17
Homeowner,+14055553857,"152 W Main St",Norman,OK,43.17
Homeowner,+14055553558,"154 E 2nd St",Edmond,OK,43.16
Homeowner,+14055556041,"173 N May Ave","Oklahoma City",OK,43.14
Homeowner,+14055553560,"156 E 2nd St",Edmond,OK,43.13
Homeowner,+14055554176,"270 SW 24th Ave",Norman,OK,43.13
Homeowner,+14055555793,"126 NW 10th St","Oklahoma City",OK,43.13
Homeowner,+14055556045,"177 N May Ave","Oklahoma City",OK,43.13
Homeowner,+14055553580,"176 E 2nd St",Edmond,OK,43.11
Homeowner,+14055553538,"134 E 2nd St",Edmond,OK,43.06
Homeowner,+14055554177,"271 SW 24th Ave",Norman,OK,43.06
Homeowner,+14055554001,"296 W Main St",Norman,OK,43.04
Homeowner,+14055553556,"152 E 2nd St",Edmond,OK,43.02
Homeowner,+14055553572,"168 E 2nd St",Edmond,OK,43.02
Homeowner,+14055554002,"297 W Main St",Norman,OK,43.02
Homeowner,+14055554003,"298 W Main St",Norman,OK,43.01
Homeowner,+14055554004,"299 W Main St",Norman,OK,43.01
Homeowner,+14055553554,"150 E 2nd St",Edmond,OK,43.0
Homeowner,+14055554169,"263 SW 24th Ave",Norman,OK,42.99
Homeowner,+14055554280,"173 W Robinson St",Norman,OK,42.99
Homeowner,+14055553542,"138 E 2nd St",Edmond,OK,42.95
Homeowner,+14055554175,"269 SW 24th Ave",Norman,OK,42.92
Homeowner,+14055553861,"156 W Main St",Norman,OK,42.9
Homeowner,+14055553869,"164 W Main St",Norman,OK,42.9
Homeowner,+14055553550,"146 E 2nd St",Edmond,OK,42.89
Homeowner,+14055554174,"268 SW 24th Ave",Norman,OK,42.89
Homeowner,+14055553601,"197 E 2nd St",Edmond,OK,42.87
Homeowner,+14055553865,"160 W Main St",Norman,OK,42.87
Homeowner,+14055554226,"119 W Robinson St",Norman,OK,42.87
Homeowner,+14055553863,"158 W Main St",Norman,OK,42.86
Homeowner,+14055553867,"162 W Main St",Norman,OK,42.86
Homeowner,+14055553544,"140 E 2nd St",Edmond,OK,42.85
Homeowner,+14055553576,"172 E 2nd St",Edmond,OK,42.85
Homeowner,+14055553570,"166 E 2nd St",Edmond,OK,42.84
Homeowner,+14055553830,"125 W Main St",Norman,OK,42.84
Homeowner,+14055554228,"121 W Robinson St",Norman,OK,42.84
Homeowner,+14055553552,"148 E 2nd St",Edmond,OK,42.83
Homeowner,+14055554172,"266 SW 24th Ave",Norman,OK,42.82
Homeowner,+14055554173,"267 SW 24th Ave",Norman,OK,42.81
Homeowner,+14055554171,"265 SW 24th Ave",Norman,OK,42.8
Homeowner,+14055555849,"182 NW 10th St","Oklahoma City",OK,42.79
Homeowner,+14055553574,"170 E 2nd St",Edmond,OK,42.78
Homeowner,+14055553578,"174 E 2nd St",Edmond,OK,42.78
Homeowner,+14055553564,"160 E 2nd St",Edmond,OK,42.76
Homeowner,+14055553536,"132 E 2nd St",Edmond,OK,42.72
Homeowner,+14055553875,"170 W Main St",Norman,OK,42.71
Homeowner,+14055553920,"215 W Main St",Norman,OK,42.66
Homeowner,+14055553540,"136 E 2nd St",Edmond,OK,42.65
Homeowner,+14055554170,"264 SW 24th Ave",Norman,OK,42.65
Homeowner,+14055556047,"179 N May Ave","Oklahoma City",OK,42.65
Homeowner,+14055553562,"158 E 2nd St",Edmond,OK,42.64
Homeowner,+14055553504,"100 E 2nd St",Edmond,OK,42.63
Homeowner,+14055554284,"177 W Robinson St",Norman,OK,42.63
Homeowner,+14055553871,"166 W Main St",Norman,OK,42.54
Homeowner,+14055553924,"219 W Main St",Norman,OK,42.54
Homeowner,+14055553566,"162 E 2nd St",Edmond,OK,42.52
Homeowner,+14055553873,"168 W Main St",Norman,OK,42.52
Homeowner,+14055553877,"172 W Main St",Norman,OK,42.5
Homeowner,+14055553926,"221 W Main St",Norman,OK,42.48
Homeowner,+14055553881,"176 W Main St",Norman,OK,42.47
Homeowner,+14055553879,"174 W Main St",Norman,OK,42.45
Homeowner,+14055553918,"213 W Main St",Norman,OK,42.44
Homeowner,+14055555847,"180 NW 10th St","Oklahoma City",OK,42.42
Homeowner,+14055553825,"120 W Main St",Norman,OK,42.39
Homeowner,+14055554276,"169 W Robinson St",Norman,OK,42.38
Homeowner,+14055553883,"178 W Main St",Norman,OK,42.35
Homeowner,+14055553889,"184 W Main St",Norman,OK,42.32
Homeowner,+14055553885,"180 W Main St",Norman,OK,42.28
Homeowner,+14055554167,"261 SW 24th Ave",Norman,OK,42.27
Homeowner,+14055554269,"162 W Robinson St",Norman,OK,42.24
Homeowner,+14055553534,"130 E 2nd St",Edmond,OK,42.23
Homeowner,+14055554168,"262 SW 24th Ave",Norman,OK,42.22
Homeowner,+14055555795,"128 NW 10th St","Oklahoma City",OK,42.21
Homeowner,+14055553887,"182 W Main St",Norman,OK,42.17
Homeowner,+14055554166,"260 SW 24th Ave",Norman,OK,42.15
Homeowner,+14055553329,"126 N Bryant Ave",Edmond,OK,42.13
Homeowner,+14055554230,"123 W Robinson St",Norman,OK,42.12
Homeowner,+14055554162,"256 SW 24th Ave",Norman,OK,42.07
Homeowner,+14055554165,"259 SW 24th Ave",Norman,OK,42.02
Homeowner,+14055554286,"179 W Robinson St",Norman,OK,42.01
Homeowner,+14055555783,"116 NW 10th St","Oklahoma City",OK,41.99
Homeowner,+14055556049,"181 N May Ave","Oklahoma City",OK,41.98
Homeowner,+14055553893,"188 W Main St",Norman,OK,41.95
Homeowner,+14055555845,"178 NW 10th St","Oklahoma City",OK,41.95
Homeowner,+14055554163,"257 SW 24th Ave",Norman,OK,41.93
Homeowner,+14055554161,"255 SW 24th Ave",Norman,OK,41.9
Homeowner,+14055556161,"293 N May Ave","Oklahoma City",OK,41.87
Homeowner,+14055554164,"258 SW 24th Ave",Norman,OK,41.86
Homeowner,+14055556066,"198 N May Ave","Oklahoma City",OK,41.86
Homeowner,+14055555843,"176 NW 10th St","Oklahoma City",OK,41.84
Homeowner,+14055553891,"186 W Main St",Norman,OK,41.83
Homeowner,+14055554271,"164 W Robinson St",Norman,OK,41.83
Homeowner,+14055554160,"254 SW 24th Ave",Norman,OK,41.82
Homeowner,+14055554159,"253 SW 24th Ave",Norman,OK,41.81
Homeowner,+14055553929,"224 W Main St",Norman,OK,41.8
Homeowner,+14055556070,"202 N May Ave","Oklahoma City",OK,41.8
Homeowner,+14055553828,"123 W Main St",Norman,OK,41.79
Homeowner,+14055556074,"206 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556076,"208 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556078,"210 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556080,"212 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556082,"214 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556084,"216 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556086,"218 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556088,"220 N May Ave","Oklahoma City",OK,41.77
Homeowner,+14055556064,"196 N May Ave","Oklahoma City",OK,41.76
Homeowner,+14055554158,"252 SW 24th Ave",Norman,OK,41.67
Homeowner,+14055554265,"158 W Robinson St",Norman,OK,41.64
Homeowner,+14055555807,"140 NW 10th St","Oklahoma City",OK,41.62
Homeowner,+14055556163,"295 N May Ave","Oklahoma City",OK,41.62
Homeowner,+14055553895,"190 W Main St",Norman,OK,41.59
Homeowner,+14055555805,"138 NW 10th St","Oklahoma City",OK,41.58
Homeowner,+14055554156,"250 SW 24th Ave",Norman,OK,41.54
Homeowner,+14055556039,"171 N May Ave","Oklahoma City",OK,41.53
Homeowner,+14055554246,"139 W Robinson St",Norman,OK,41.51
Homeowner,+14055554263,"156 W Robinson St",Norman,OK,41.51
Homeowner,+14055554261,"154 W Robinson St",Norman,OK,41.5
Homeowner,+14055555841,"174 NW 10th St","Oklahoma City",OK,41.5
Homeowner,+14055553606,"202 E 2nd St",Edmond,OK,41.49
Homeowner,+14055554154,"248 SW 24th Ave",Norman,OK,41.49
Homeowner,+14055554157,"251 SW 24th Ave",Norman,OK,41.49
